,price,bed,bath,acre_lot,zip_code,house_size,major_city,county,radius_in_miles,zipcode,population_estimate_2019,population_change_2019,population_births_2019,population_deaths_2019,population_net_international_migration_2019,population_net_domestic_migration_2019,population_net_migration_2019,unemployment_civilian_labor_force_2020,unemployment_employed_2020,unemployment_unemployed_2020,unemployment_unemployment_rate_2020,unemployment_median_household_income_2019,education_percent_of_adults_with_less_than_a_high_school_diploma_2015-19,education_percent_of_adults_with_a_high_school_diploma_only_2015-19,education_percent_of_adults_completing_some_college_or_associate's_degree_2015-19,education_percent_of_adults_with_a_bachelor's_degree_or_higher_2015-19,population_by_age_total_Under_5_2019,population_by_age_total_5_13_2019,population_by_age_total_14_17_2019,population_by_age_total_18_24_2019,population_by_age_total_16_over_2019,population_by_age_total_18_over_2019,population_by_age_total_15_44_2019,population_by_age_total_25_44_2019,population_by_age_total_45_64_2019,population_by_age_total_65_over_2019,county_name,crime_rate_per_100000,CPOPARST,AG_ARRST,AG_OFF,COVIND,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,lot_flag
1585,340000,3.0,3.0,1.54,12522.0,1646.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1587,349900,2.0,1.0,25.2,12571.0,980.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1589,275000,3.0,2.0,0.78,12501.0,2500.0,Amenia,Dutchess County,5.0,12501.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1565,375000,3.0,2.0,7.02,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1668,430000,2.0,3.0,0.4,12545.0,1242.0,Millbrook,Dutchess County,8.0,12545.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1516,900000,3.0,2.0,50.0,12545.0,2085.0,Millbrook,Dutchess County,8.0,12545.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1649,250000,3.0,2.0,10.0,12546.0,2085.0,Millerton,Dutchess County,9.0,12546.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1515,500000,3.0,2.0,128.02,12592.0,2085.0,Wassaic,Dutchess County,4.0,12592.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1652,675000,3.0,2.0,111.0,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1654,675000,3.0,2.0,111.0,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1660,1995000,5.0,4.0,4.95,12571.0,4064.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1664,185000,3.0,2.0,11.7,12514.0,2085.0,Clinton Corners,Dutchess County,7.0,12514.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1655,155000,3.0,1.0,0.5,12594.0,1100.0,Wingdale,Dutchess County,5.0,12594.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1617,595000,3.0,2.0,87.0,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1644,875000,2.0,2.0,29.88,12514.0,1478.0,Clinton Corners,Dutchess County,7.0,12514.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1536,1995000,5.0,4.0,37.2,12571.0,4064.0,Red Hook,Dutchess County,8.0,12571.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1534,379000,3.0,2.0,24.99,12571.0,2085.0,Red Hook,Dutchess County,8.0,12571.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1643,350000,3.0,2.0,0.28,12594.0,1568.0,Wingdale,Dutchess County,5.0,12594.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1532,660000,4.0,2.0,59.69,12546.0,1792.0,Millerton,Dutchess County,9.0,12546.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1526,459000,4.0,3.0,0.99,12522.0,2418.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1636,235000,3.0,2.0,10.5,12571.0,1120.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1627,150000,3.0,2.0,1.57,12581.0,1627.0,Stanfordville,Dutchess County,7.0,12581.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1760,799000,1.0,2.0,3.08,12571.0,1200.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1869,260000,4.0,3.0,1.3,12571.0,2400.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1371,850000,3.0,2.0,67.7,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1871,185000,3.0,2.0,11.7,12581.0,2085.0,Stanfordville,Dutchess County,7.0,12581.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1873,235000,4.0,2.0,0.17,12522.0,1522.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1877,435000,3.0,3.0,3.3,12522.0,1956.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
494,365000,3.0,2.0,1.0,12546.0,2710.0,Millerton,Dutchess County,9.0,12546.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1879,549000,2.0,3.0,10.0,12514.0,1440.0,Clinton Corners,Dutchess County,7.0,12514.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1363,105000,3.0,2.0,2.9,12522.0,2085.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1882,69900,3.0,2.0,0.53,12546.0,2085.0,Millerton,Dutchess County,9.0,12546.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1361,475000,3.0,2.0,119.2,12514.0,2085.0,Clinton Corners,Dutchess County,7.0,12514.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1865,179900,2.0,1.0,0.35,12546.0,936.0,Millerton,Dutchess County,9.0,12546.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1374,1750000,3.0,2.0,33.0,12567.0,2085.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1387,125000,3.0,2.0,6.86,12571.0,2085.0,Red Hook,Dutchess County,8.0,12571.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1762,2750000,4.0,4.0,10.1,12571.0,3318.0,Red Hook,Dutchess County,8.0,12571.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1847,239000,3.0,1.0,0.49,12522.0,1260.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1848,340000,3.0,2.0,1.01,12501.0,2048.0,Amenia,Dutchess County,5.0,12501.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1381,75000,3.0,2.0,1.12,12522.0,2085.0,Dover Plains,Dutchess County,7.0,12522.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,True
1853,338000,3.0,2.0,3.44,12567.0,1562.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1854,399000,3.0,3.0,2.9,12581.0,1848.0,Stanfordville,Dutchess County,7.0,12581.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
1858,850000,4.0,3.0,13.62,12567.0,2500.0,Pine Plains,Dutchess County,7.0,12567.0,294218.0,279.0,2584.0,2765.0,232.0,247.0,479.0,142061.0,131173.0,10888.0,7.7,84564.0,8.9,26.8,29.2,35.0,9886.0,18366.0,8553.0,27003.0,158001.0,153683.0,74863.0,41423.0,48277.0,36980.0,Dutchess County,227.6738202,299607.0,24.0,13.0,100.0,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,False
